3.77796,-1.75201,3.77796,-1.75201,1
-4.63949,0.344682,3.77796,-1.75201,0
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63974,0.344161,3.77795,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.391476,0.491788,0.391476,0.491788,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.07474,-1.10155,-3.07474,-1.10155,1
3.77796,-1.75201,3.77796,-1.75201,1
-4.63949,0.344682,3.77796,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
-2.61732,2.62197,-2.61732,2.62197,1
-0.473806,-0.359991,-0.473806,-0.359991,1
3.51179,0.424047,3.51179,0.424047,1
4.44212,-0.206305,3.51179,0.424047,0
0.748789,-0.970057,3.51179,0.424047,0
-0.0553577,-1.25191,-0.0553577,-1.25191,1
0.178835,-1.24635,0.178835,-1.24635,1
1.85987,2.02287,1.85987,2.02287,1
2.13194,0.802107,2.13194,0.802107,1
2.93731,-1.32275,2.93731,-1.32275,1
3.07497,1.10159,3.07497,1.10159,1
3.07499,1.10168,3.07499,1.10168,1
-5.09736,0.228913,-5.09736,0.228913,1
-4.36718,0.142721,-4.36718,0.142721,1
-0.0551367,-1.25211,-0.0551367,-1.25211,1
0.179034,-1.24652,0.179034,-1.24652,1
1.86059,2.02291,1.86059,2.02291,1
2.13202,0.802158,2.13202,0.802158,1
2.93731,-1.32276,2.93731,-1.32276,1
3.07499,1.10168,3.07499,1.10168,1
2.1689,1.86366,2.1689,1.86366,1
4.36793,-0.14126,4.36793,-0.14126,1
4.44214,-0.206304,4.36793,-0.14126,0
0.745618,-0.973221,4.36793,-0.14126,0
-3.07502,-1.10168,-3.07502,-1.10168,1
3.77796,-1.75201,3.77796,-1.75201,1
-4.63949,0.344682,3.77796,-1.75201,0
3.03837,-3.14038,3.03837,-3.14038,1
0.463075,0.380379,0.463075,0.380379,1
2.9019,-0.727172,2.9019,-0.727172,1
4.08539,-1.04907,4.08539,-1.04907,1
-3.07474,-1.10155,-3.07474,-1.10155,1
3.77796,-1.75201,3.77796,-1.75201,1
-4.59536,0.374324,3.77796,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.391466,0.491797,0.391466,0.491797,1
4.08609,-1.04923,4.08609,-1.04923,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77796,-1.75201,3.77796,-1.75201,1
-4.63975,0.344161,3.77796,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.494346,0.348369,0.494346,0.348369,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-3.53915,1.72438,-3.53915,1.72438,1
0.940142,2.49478,0.940142,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
-2.94032,1.32108,-2.94032,1.32108,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63949,0.344682,3.77795,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.468708,0.368557,0.468708,0.368557,1
4.08749,-1.04632,4.08749,-1.04632,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-3.53898,1.72428,-3.53898,1.72428,1
0.940707,2.49435,0.940707,2.49435,1
-4.94743,2.2082,-4.94743,2.2082,1
-2.16912,-1.86338,-2.16912,-1.86338,1
-4.36709,0.142901,-4.36709,0.142901,1
0.148429,-0.114801,0.148429,-0.114801,1
0.176086,-0.0503725,0.148429,-0.114801,0
2.86971,1.21224,2.86971,1.21224,1
3.20505,-0.115112,2.86971,1.21224,0
2.56729,-0.581419,2.56729,-0.581419,1
4.39417,0.833688,2.56729,-0.581419,0
-2.16888,-1.86366,-2.16888,-1.86366,1
-4.36793,0.14126,-4.36793,0.14126,1
0.179275,-0.0457668,-4.36793,0.14126,0
2.86987,1.19584,2.86987,1.19584,1
3.20784,-0.12789,2.86987,1.19584,0
2.56729,-0.581419,2.56729,-0.581419,1
4.19263,1.88715,2.56729,-0.581419,0
-2.16888,-1.86366,-2.16888,-1.86366,1
-2.94412,-2.16609,-2.16888,-1.86366,0
-3.07499,-1.10168,-3.07499,-1.10168,1
-4.59535,0.374334,-3.07499,-1.10168,0
3.03909,-3.141,3.03909,-3.141,1
0.391751,0.491329,0.391751,0.491329,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-4.38957,1.7785,-3.59071,-0.406157,0
0.940182,2.49472,0.940182,2.49472,1
-4.95156,2.20601,-4.95156,2.20601,1
-2.91053,1.42715,-2.91053,1.42715,1
-1.89631,0.479268,-1.89631,0.479268,1
-3.34361,-0.663696,-3.34361,-0.663696,1
-3.07497,-1.10159,-3.07497,-1.10159,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.59536,0.374323,3.77795,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.37681,0.518262,0.37681,0.518262,1
2.84353,-0.48899,2.84353,-0.48899,1
2.89634,-0.719341,2.89634,-0.719341,1
4.07488,-1.07966,4.07488,-1.07966,1
3.64138,-0.430772,3.64138,-0.430772,1
2.56849,-0.0701919,2.56849,-0.0701919,1
-3.592,-0.406422,-3.592,-0.406422,1
-3.54071,1.70363,-3.592,-0.406422,0
-2.01652,0.534615,-2.01652,0.534615,1
-3.34361,-0.663696,-3.34361,-0.663696,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63974,0.344161,3.77795,-1.75201,0
3.03934,-3.141,3.03934,-3.141,1
0.376757,0.518285,0.376757,0.518285,1
4.08612,-1.04925,4.08612,-1.04925,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-3.53915,1.72437,-3.53915,1.72437,1
0.940142,2.49478,0.940142,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
-2.91072,1.42813,-2.91072,1.42813,1
-2.0166,0.534588,-2.0166,0.534588,1
-3.3436,-0.663698,-3.3436,-0.663698,1
-3.0746,-1.10119,-3.0746,-1.10119,1
-4.63974,0.344161,-3.0746,-1.10119,0
3.03836,-3.14048,3.03836,-3.14048,1
0.377149,0.5249,0.377149,0.5249,1
4.08749,-1.04632,4.08749,-1.04632,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-4.38957,1.7785,-3.59071,-0.406157,0
0.940142,2.49478,0.940142,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
-2.91053,1.42715,-2.91053,1.42715,1
-1.92578,0.514219,-2.91053,1.42715,0
-3.34265,-0.663988,-3.34265,-0.663988,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.78272,-1.75158,3.78272,-1.75158,1
-4.63949,0.344683,3.78272,-1.75158,0
3.03836,-3.14048,3.03836,-3.14048,1
0.388331,0.494537,0.388331,0.494537,1
-2.91053,1.42715,-2.91053,1.42715,1
-1.89631,0.479268,-1.89631,0.479268,1
-3.34361,-0.663696,-3.34361,-0.663696,1
-3.07453,-1.10152,-3.07453,-1.10152,1
-4.63949,0.344682,-3.07453,-1.10152,0
-3.34265,-0.663982,-3.34265,-0.663982,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77795,-1.75201,3.77795,-1.75201,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.778,-1.75199,3.778,-1.75199,1
-4.63948,0.344685,3.778,-1.75199,0
3.03836,-3.14048,3.03836,-3.14048,1
0.391479,0.491788,0.391479,0.491788,1
4.08539,-1.05723,4.08539,-1.05723,1
-3.59052,-0.406191,-3.59052,-0.406191,1
-4.38957,1.7785,-3.59052,-0.406191,0
0.940199,2.49471,0.940199,2.49471,1
-4.94753,2.20846,-4.94753,2.20846,1
-3.07476,-1.10144,-3.07476,-1.10144,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63974,0.344161,3.77795,-1.75201,0
3.03838,-3.14026,3.03838,-3.14026,1
0.368965,0.523948,0.368965,0.523948,1
4.08747,-1.04632,4.08747,-1.04632,1
-3.5938,-0.405075,-3.5938,-0.405075,1
-3.53909,1.72435,-3.53909,1.72435,1
0.940347,2.49457,0.940347,2.49457,1
-4.94745,2.20824,-4.94745,2.20824,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77796,-1.75201,3.77796,-1.75201,1
-4.63949,0.344682,3.77796,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.376319,0.518696,0.376319,0.518696,1
4.08611,-1.04924,4.08611,-1.04924,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-4.38957,1.7785,-3.59071,-0.406157,0
0.940142,2.49478,0.940142,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
-3.3436,-0.66367,-3.3436,-0.66367,1
-3.07497,-1.10159,-3.07497,-1.10159,1
3.77797,-1.752,3.77797,-1.752,1
-4.63986,0.343959,3.77797,-1.752,0
-2.93271,1.3286,-2.93271,1.3286,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.59536,0.374323,3.77795,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.468708,0.368557,0.468708,0.368557,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.59071,-0.406156,-3.59071,-0.406156,1
-4.38957,1.7785,-3.59071,-0.406156,0
0.940142,2.49478,0.940142,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
-3.07492,-1.10168,-3.07492,-1.10168,1
3.78238,-1.75156,3.78238,-1.75156,1
-4.59543,0.374775,3.78238,-1.75156,0
3.03934,-3.141,3.03934,-3.141,1
0.392776,0.489796,0.392776,0.489796,1
4.08612,-1.04925,4.08612,-1.04925,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-4.38957,1.7785,-3.59071,-0.406157,0
0.940142,2.49478,0.940142,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
-3.34361,-0.663696,-3.34361,-0.663696,1
-3.07477,-1.10146,-3.07477,-1.10146,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63974,0.344161,3.77795,-1.75201,0
3.03837,-3.1404,3.03837,-3.1404,1
0.37641,0.518653,0.37641,0.518653,1
4.08608,-1.04925,4.08608,-1.04925,1
-3.59073,-0.406178,-3.59073,-0.406178,1
-3.53914,1.72437,-3.53914,1.72437,1
0.940176,2.49475,0.940176,2.49475,1
-4.94763,2.20854,-4.94763,2.20854,1
-3.07477,-1.10146,-3.07477,-1.10146,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63974,0.344161,3.77795,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.474601,0.363774,0.474601,0.363774,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-4.38957,1.7785,-3.59071,-0.406157,0
0.940143,2.49478,0.940143,2.49478,1
-4.94749,2.20837,-4.94749,2.20837,1
3.03836,-3.14048,3.03836,-3.14048,1
0.468708,0.368558,0.468708,0.368558,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-3.53915,1.72438,-3.53915,1.72438,1
0.940145,2.49477,0.940145,2.49477,1
-4.94743,2.20822,-4.94743,2.20822,1
-3.07499,-1.10168,-3.07499,-1.10168,1
3.77795,-1.75201,3.77795,-1.75201,1
-4.63974,0.344161,3.77795,-1.75201,0
3.03836,-3.14048,3.03836,-3.14048,1
0.405405,0.46063,0.405405,0.46063,1
4.08611,-1.04925,4.08611,-1.04925,1
-3.59066,-0.406162,-3.59066,-0.406162,1
-3.53915,1.72438,-3.53915,1.72438,1
0.940143,2.49478,0.940143,2.49478,1
-4.94743,2.20822,-4.94743,2.20822,1
3.03834,-3.14052,3.03834,-3.14052,1
0.468708,0.368557,0.468708,0.368557,1
4.08611,-1.04924,4.08611,-1.04924,1
-3.59071,-0.406157,-3.59071,-0.406157,1
-4.38957,1.7785,-3.59071,-0.406157,0
