1,0,-0.0882233,-4.33081
1,1,-0.0883168,-4.33061
1,1,-0.0879796,-4.33092
1,1,-0.0866915,-4.33083
1,1,-0.0868381,-4.33071
1,1,-0.0882233,-4.33081
1,1,-0.0879796,-4.33092
1,1,-0.0879796,-4.33092
1,1,-0.0879796,-4.33092
1,1,-0.0876295,-4.33068
1,1,-0.0882233,-4.33081
1,1,-0.0868348,-4.33134
1,1,-0.0879796,-4.33092
1,1,-0.0884356,-4.33077
1,1,-0.0879796,-4.33092
1,1,-0.0879796,-4.33092
1,1,-0.0879796,-4.33092
1,1,-0.0880295,-4.33103
1,1,-0.0879796,-4.33092
1,1,-0.0887955,-4.33086
1,1,-0.0882233,-4.33081
1,1,-0.0862912,-4.3302
1,1,-0.0882233,-4.33081
1,1,-0.0869734,-4.33105
1,1,-0.0879796,-4.33092
1,1,-0.0882233,-4.33081
1,1,-0.0888291,-4.33052
1,1,-0.0869734,-4.33105
1,1,-0.0887955,-4.33086
1,1,-0.0893526,-4.33088
1,1,-0.0879796,-4.33092
1,1,-0.0877647,-4.33102
1,1,-0.0879796,-4.33092
1,1,-0.0873115,-4.33029
1,1,-0.0856914,-4.33003
1,1,-0.0877091,-4.33111
1,1,-0.0888547,-4.33064
1,1,-0.0879796,-4.33092
1,1,-0.0873738,-4.33059
1,1,-0.0880295,-4.33103
1,1,-0.0890392,-4.33074
1,1,-0.0869734,-4.33105
1,1,-0.087217,-4.33094
1,1,-0.0888291,-4.33052
1,1,-0.0880295,-4.33103
1,1,-0.0879796,-4.33092
1,1,-0.0879796,-4.33092
1,1,-0.0888547,-4.33064
1,1,-0.0879796,-4.33092
1,1,-0.0894391,-4.33069
1,1,-0.0887671,-4.33075
1,1,-0.0871921,-4.33114
1,1,-0.0882828,-4.33084
1,1,-0.0885045,-4.33074
1,1,-0.0879678,-4.33112
1,1,-0.0871101,-4.33083
1,1,-0.0887505,-4.33039
1,1,-0.0891709,-4.32947
1,1,-0.0890126,-4.32992
1,1,-0.0886039,-4.32887
1,1,-0.0890685,-4.32905
1,1,-0.088468,-4.32962
1,1,-0.0889826,-4.32716
1,1,-0.0895782,-4.3281
1,1,-0.0883839,-4.32859
1,1,-0.0883839,-4.32859
1,1,-0.0883839,-4.32859
1,1,-0.0880883,-4.32854
1,1,-0.0880991,-4.32883
1,1,-0.0881741,-4.32809
1,1,-0.0875607,-4.3301
1,1,-0.0875834,-4.32969
1,1,-0.0875332,-4.32926
1,1,-0.0869506,-4.32961
1,1,-0.0879718,-4.32848
1,1,-0.0876346,-4.32971
1,1,-0.0876346,-4.32971
1,1,-0.0879937,-4.32985
1,1,-0.0882102,-4.32782
1,1,-0.0885436,-4.33072
1,1,-0.0877453,-4.33026
1,1,-0.0871434,-4.33054
1,1,-0.0852917,-4.32867
1,1,-0.0875929,-4.32957
1,1,-0.0868739,-4.32794
1,1,-0.0883564,-4.324
1,1,-0.0918612,-4.32169
1,1,-0.0900633,-4.3225
1,1,-0.0908643,-4.32284
1,1,-0.108421,-4.31388
1,1,-0.108421,-4.31388
1,1,-0.0909837,-4.32236
1,1,-0.0920705,-4.31927
1,1,-0.0924374,-4.31439
1,1,-0.119961,-4.28363
1,1,-0.169816,-4.23495
1,1,-0.217145,-4.17964
1,1,-0.265761,-4.12555
0,1,-0.338809,-4.04579
0,1,-0.36208,-4.01805
0,1,-0.408921,-3.96653
0,1,-0.455034,-3.91645
0,1,-0.501299,-3.86584
0,1,-0.54534,-3.81575
0,1,-0.587296,-3.76767
0,1,-0.631949,-3.71974
0,1,-0.661553,-3.6778
0,1,-0.706257,-3.63099
3,1,-0.749542,-3.58091
3,1,-0.794326,-3.53321
3,1,-0.837293,-3.48525
3,1,-0.875898,-3.44056
3,1,-0.918611,-3.39332
3,1,-0.961051,-3.34353
3,1,-0.998911,-3.30067
3,1,-1.04128,-3.2547
3,1,-1.07787,-3.21077
3,1,-1.1183,-3.16594
3,1,-1.15762,-3.12253
3,1,-1.19689,-3.07797
3,1,-1.235,-3.03691
3,1,-1.27097,-2.99102
3,1,-1.30856,-2.9499
3,1,-1.34752,-2.90705
3,1,-1.38227,-2.86392
3,1,-1.42082,-2.82593
3,1,-1.45782,-2.78003
3,1,-1.49392,-2.73798
3,1,-1.53077,-2.69645
3,1,-1.56572,-2.65666
3,1,-1.60314,-2.61292
3,1,-1.64083,-2.57119
3,1,-1.67513,-2.53215
3,1,-1.71242,-2.49308
3,1,-1.74689,-2.45119
3,1,-1.78324,-2.40941
3,1,-1.81861,-2.3694
3,1,-1.85354,-2.33287
3,1,-1.88729,-2.29342
3,1,-1.92146,-2.25256
3,1,-1.95622,-2.21258
3,1,-1.98903,-2.1759
3,1,-2.02325,-2.1399
3,1,-2.05705,-2.10063
3,1,-2.09051,-2.06091
